address,liquid_uxki,staked_uxki,unbonding_uxki,rewards_uxki,total_uxki,total_xki
ki1tygms3xhhs3yv487phx3dw4a95jn7t7lsky3th,494409969780496,0,0,0,494409969780496,494409969.780496
ki1fl48vsnmsdzcv85q5d2q4z5ajdha8yu3ykcqar,326117427589497,0,0,0,326117427589497,326117427.589497
ki1jv65s3grqf6v6jl3dp4t6c9t9rk99cd8kj4ndt,138423166948702,0,0,0,138423166948702,138423166.948702
ki1acyzntfqsc337ktm89rqp56p0nm8tlcnrchma5,53948804836564,116872425472194,0,16552894839918,187374125148676,187374125.148676
ki1a6hhzcjtxyu489g59f00ed8x3dymr3nt3hmfse,50692353546416,76446709204286,0,8851313213472,135990375964174,135990375.964174
ki1hyp9k2tlkyhn4q0fe2p6ntpy8zl4wrwfnmtvru,45346621472500,0,0,0,45346621472500,45346621.4725
ki1r8cgc4dd56fgmzml2d7ngjq4gr5477686k0fa5,39829322691950,45745275535962,0,12019486425935,97594084653847,97594084.653847
ki1a53udazy8ayufvy0s434pfwjcedzqv348pn206,21848287736282,0,0,0,21848287736282,21848287.736282
ki1z3ekyy7fc0zqevz839q07cql4qfsj5ru6w73kn,6405882510784,19954059978052,0,5775030031884,32134972520720,32134972.52072
ki1urzqh20dq63va8zl66hc3yl7rk0cvphvugmd8z,3590406411540,38809449648222,0,1536294213823,43936150273585,43936150.273585
ki193r28ajgzaxhgmkhm2jmjjr4l68vk6gkr4g9s5,3307751679848,199989999999,0,27880058836,3535621738683,3535621.738683
ki133j3xh9wjxq5lcwpvssw90jggszv2s3kkn4lpl,2794372975212,26279850015002,0,10581766296420,39655989286634,39655989.286634
ki15rff5epa9rvqre4v6fp3mlytr528tl4vsw5s8z,2503307788476,38557946174359,0,2382397422948,43443651385783,43443651.385783
ki102mdncfpu43ltwjxh9u3ys3lg9k2zfqvnyacp4,2351197405866,0,0,0,2351197405866,2351197.405866
ki1p63zvrr9kjhgeguwfcwj400w7pavftk30w4flr,2324885689514,0,0,0,2324885689514,2324885.689514
ki17n5acvty4hqp0pjwu3y0rhqzltp8605e0d8mfj,2258474692479,0,0,0,2258474692479,2258474.692479
ki1zwv6feuzhy6a9wekh96cd57lsarmqlwxdypdsplw6zhfncqw6ftqr2t3wg,2214527609438,0,0,0,2214527609438,2214527.609438
ki1xfg68z9xlzgvxapvzas5at0p5s0uv5k9dna79f,2201186371177,1293168156308,0,53321131099,3547675658584,3547675.658584
ki1h5u2ahvfyuxzjpktj0mnz9lnp9m5n5ut5wr4qe,2102262995498,217802022257983,0,15772339770146,235676625023627,235676625.023627
ki1ypnke0r4uk6u82w4gh73kc5tz0qsn0ahek0653,2095306603186,21453438607186,0,548928895655,24097674106027,24097674.106027
ki1lk2u237a22um3wxqzjph8mfhwrqhnxk2hkhuqptjj4vwhahmu3pq3zvryh,1684765267277,0,0,0,1684765267277,1684765.267277
ki10nen8pf6wwc09qxlzur2sssjxmany78rgu00ku,1535215975007,0,0,0,1535215975007,1535215.975007
ki1vr77umdykwwtx9dmewhtfj0cd6ur093555z78c,1367871121500,0,0,0,1367871121500,1367871.1215
ki1pyn9dxvkvycn62rafsz6x9jxqxccsazvcqj83k,1181039906763,0,0,0,1181039906763,1181039.906763
ki1h63gkjqrlmggesw9r6rjctqk8e2xlv5skk7x65,1172723600121,1,0,0,1172723600122,1172723.600122
ki1ma75x8lutctsh05emalhnskn6324aazjr8fmpq,1096179347928,1487592757476,0,13188593111,2596960698515,2596960.698515
ki1wx78v65ppxvgnefhfryc8ksja2hqzksm0s6v7z,1000568948228,4997000,0,619014,1000574564242,1000574.564242
ki10yg6rqqvs63l5uuv4auhl4u66r8md38el8xpnd,974877480848,9997000300,0,0,984874481148,984874.481148
ki135egt9dwqe3e2rd9xfm2d560w3hxc75ajghad4,879840369331,0,0,0,879840369331,879840.369331
ki1u23vq78ah4kcaplxpex9nys7ctwpfyzlts53da,831107794553,1020000000000,0,96254550340,1947362344893,1947362.344893
ki1lweve0k5qs2fuzpe3tafnc7qu835jqlnanl5uy,805608561650,49985001500,0,0,855593563150,855593.56315
ki1y2g6jzksptz8dd7472r09mv0y0wmfln356xlen,802893352540,532259923580,0,0,1335153276120,1335153.27612
ki1r5au3wktwr9zkrgu07x0htqk0r0rmurlvkqjtw,765909136728,499850908315,0,74068,1265760119111,1265760.119111
ki1al7mev84665fnma44egn6ynta56v2ucz4rc9f7,756579131188,0,0,0,756579131188,756579.131188
ki1s9g09xs326njyrxnkqp70cptc5gh8883emypyh,670173628572,1000000000,0,260251666,671433880238,671433.880238
ki1qgprdkpja0ejhvu0xtu4mq5pm2ymhn5pceqnvh,669003026756,49985001500,0,0,718988028256,718988.028256
ki14qg53snllcyhl5rxa8sxwsag863a92elyaz4mf,646248955000,0,0,0,646248955000,646248.955
ki1l2wq6wtgcczluw4rnvnpgquk72cuh8ej8ad7xm,634731279321,0,0,0,634731279321,634731.279321
ki1fav75jxewu5ae3hgemxymr5329kkyq4s0un2qx,632000000000,0,0,0,632000000000,632000
ki1pt9c0rxc7y93gjw2ey4ceefuufy7h7xkkmajgj,627880168090,0,0,0,627880168090,627880.16809
ki1s93vg4dcy2yedcr3qp7zcjtvyqxl6u7lwkv37x,616721882082,0,0,0,616721882082,616721.882082
ki1enae36xr05z5rtfjjyw737jr5x4ej65asnw8le4wumsl45m4m0lqs6q0tx,565193281810,0,0,0,565193281810,565193.28181
ki16a6fdy060yaga9ednpnwldvfaqqds4yq8p5sr8,562727064069,0,0,0,562727064069,562727.064069
ki1m9yzzhhjpvwkztll0vs682wysvngx9ealsgykd,558925307494,9997000300,0,0,568922307794,568922.307794
ki13wlrt7n3muh03wd64p9zlyrqavsd84g692742k,539710191459,49985001500,0,0,589695192959,589695.192959
ki1sx899y55dttn7dnphqwvzue4a57m6h3903eqn8,509325355686,0,0,0,509325355686,509325.355686
ki1qw3xvtytrpumlq7ny9ykxzfsfc0800jww2eys5,500166232817,9997000,0,0,500176229817,500176.229817
ki1yv4yru7x63slthz4zqq45eut7v9g37mqdc5egl,481383387665,0,0,0,481383387665,481383.387665
ki1rfnf6gpxuwnszn296yaeg6xxaudvaww62x9fv8,478966576161,0,0,0,478966576161,478966.576161
ki1guf7qqvjwamg0rtldrdy3s9v2tvu0vsz78e66v,470618000000,0,0,0,470618000000,470618
ki1sa987h5p9f59wpu383mf0fs5t2ccfv60hmgnwj,453668157419,0,0,0,453668157419,453668.157419
ki1q2zkkslhrg2ujcyqrlxrxasz0pk0cxcv57dnez,428302963712,10876411710,0,0,439179375422,439179.375422
ki1rng585ex024csm3mqwrpug4lk0elfvxu8l33vw,405126064405,0,0,0,405126064405,405126.064405
ki198njwwe3d5czk525az93qu7a3375lqxglf5rhx,389543977500,0,0,0,389543977500,389543.9775
ki15kj9ct9wnakpqarqeyxm7ggvvvc647g70n0ntv,340120722613,167461690894,0,13164688,507595578195,507595.578195
ki1xuzsrnsfq8eemqxjjuvlefdr483p9pare423erqzjzztty5pj9pq4ketv9,315397140745,0,0,0,315397140745,315397.140745
ki1sftalsx2jnnpn6az2zm989x68haenu49zj0s6v,306125073062,447314395720,0,2141812276,755581281058,755581.281058
ki10kj7sajtj4z7jaskd37er2vw8jmctg4v750hz2,285891111323,864419196913,0,8812905777,1159123214013,1159123.214013
ki1far0tpryqx60ft6unw02kjmlfvwu92dzc6namq,284891557033,149955004500,0,0,434846561533,434846.561533
ki1lj7dep336ksp56jkxfxe4xewszup56lvdef5ar,284229238096,9997000300,0,0,294226238396,294226.238396
ki145hd0dw3447rksryzgd5rr8g63y2ky3p842hvq,283484457535,0,0,0,283484457535,283484.457535
ki1dmf8uwvffxytzux0r2q987fnpgsz862278sn0p,261990110875,0,0,0,261990110875,261990.110875
ki1n63uf7x4cl3r33sjxzqxusrmctc8fv724ceg8g,249156000000,0,0,0,249156000000,249156
ki1jfsnnkx3yg2xfpv6es8s33q8crkgkm9qx4dchn,244013081546,0,0,0,244013081546,244013.081546
ki1c7yfxwsa7wfk0emqsmz7jxn09xj0xewtxdmpx3,240209481632,232411325683,0,3718180929,476338988244,476338.988244
ki1vj8m4tsruzlanq7gdd64thzq4a4fh0s567zdt4,228372232974,33073428523774,0,2646750039840,35948550796588,35948550.796588
ki1ccut3xaj5n6tv33xp5vcdnx28k49hx2acqerww,204102162762,9997000,0,0,204112159762,204112.159762
ki13dn73w3rz59ecu85rp29eejegmpyuhh6d8x32j,200010000000,0,0,0,200010000000,200010
ki1d3dca373p533e9vwe37z6c6h8samfnpfxgcjxw,198279677989,0,0,0,198279677989,198279.677989
ki1vfe3a6jf8g93s2zdvxrhfz7z68f5tgu37wzwq8,180918995723,0,0,0,180918995723,180918.995723
ki1wcyjv2eqvt34e3nlp6z9xdwc2gqn02w9dnqdvl,178614105555,0,0,0,178614105555,178614.105555
ki1pqd0hunc64llyzjhwp03mw2rqsgvvssm64svru,178357568401,820811086846,0,44392475653,1043561130900,1043561.1309
ki1f2xxp04dfu43uget40gxnws3fu82kfgmhquxtt,173886096181,149955004500,0,0,323841100681,323841.100681
ki1kq2rzz6fq2q7fsu75a9g7cpzjeanmk68eg5slq,173280306207,0,0,0,173280306207,173280.306207
ki1eqyyczp28w7v5e9nddfdnsr37rwkpv7nk9ngcy,170458350103,49985001500,0,0,220443351603,220443.351603
ki1e0u2cve9rjgwlnaupye9tlun0d50xcndevxshv,169903626755,1120066293118,0,42809666431,1332779586304,1332779.586304
ki15daq3unnc0jg4n6wkyyesqrt3sarxr60vvssvd,163781293692,0,0,0,163781293692,163781.293692
ki1vf5nrknalf9jztezjd6ka2l4wcx78jx8lr85h7,157267334563,149955004500,0,0,307222339063,307222.339063
ki1qh9fewhp2z5n9q4z94wkf789u2t45sg88srhfk,152412060169,255674518569,0,1197613214,409284191952,409284.191952
ki1qt0v40jeemt78g63rqkc4c6458z9w55qdpzwgy,150560174079,0,0,0,150560174079,150560.174079
ki168035z9kevqrw3lf9cky56zj5539kch9wgxlme,150000000000,0,0,0,150000000000,150000
ki1ks3e60f806hqt34t86aw50yldurzzdykacu77y,149999477500,999700,0,0,150000477200,150000.4772
ki1fk3mshup67wuz9m66jrk5ksrwu8u8m7d8weeul,146402940435,625420641408,0,42222124295,814045706138,814045.706138
ki18qqfnhqs4fg4u7xcdjmtvcy76ezfjwkzez45ea,141298448431,143348033734,0,214223419,284860705584,284860.705584
ki1auh4t7spfkrtewnla446rpapgyzvkrrj79gzz6,138372755300,149955004500,0,0,288327759800,288327.7598
ki17k2jmkk42a00ktd2dd4q9xvrnuyqx3exmhhyh6,135378000000,0,0,0,135378000000,135378
ki1sshnm3k2vkfsqw50juvce492gcjqmwtrm8hd4j,126824543370,149955004500,0,0,276779547870,276779.54787
ki1ry0x9z86lrfpf3chgwytp0d6kspvqn2777tw29,126014622233,0,0,0,126014622233,126014.622233
ki10tc72505let63tfevrvp58uadty7pdd09yylqc,125010091925,499850015001,0,0,624860106926,624860.106926
ki1umjuwrcn0vdx6w7nxaemv9s6ds0w860kq5d58a,122872473233,0,0,0,122872473233,122872.473233
ki1apyejcq2v6hqg733yffk7wfhjldlq24kkwt38e,121097082472,0,0,0,121097082472,121097.082472
ki1jqal82k9405zwy4hg6xfjk3ru8yvvjyq087dap,118765000000,0,0,0,118765000000,118765
ki1terdvh7s20qvx0qqzk7jardmd9azrp90rrjrf6,118408730507,6000000000,0,0,124408730507,124408.730507
ki1cc6m5lxyuuf5pk9an33g9ptpxhl32acuwc7cj6,118314720477,0,0,0,118314720477,118314.720477
ki1yeelk4llnjehkkusxsfzqcxvamdslu8asdmu2k,115233546990,2108904984665,0,118150201107,2342288732762,2342288.732762
ki12v593j0jje7gx4vfwcqr22nldretj9wg097kn9,113060652546,0,0,0,113060652546,113060.652546
ki1t5fnl9w9w8p5jqda6u4d3tnyzte68q5qcuagdm,112320000000,0,0,0,112320000000,112320
ki1hl4rv2yzcetah05rz6v3f092rlns7q3ykv6uzg,111870210000,0,0,0,111870210000,111870.21
ki1u4un65lwa6a57k25f2wzx2azu37qy4pyfsrc5l,109180000000,0,0,0,109180000000,109180
ki1x2dqpjkpwyk64gjqjftd52tgzg077srdhjrahg,106944023288,299900025397,0,24070953508,430915002193,430915.002193
ki18vx4s5z3etf6q0q5j2r8r2q0sdxu6c5dm95g2l,106804241511,0,0,0,106804241511,106804.241511
ki1ea6u92ky8f5fxdrjhjr5q9kt7xa6jdf6967nmj,104565877318,19989003,0,0,104585866321,104585.866321
ki1wf3luez4233wwwjtmz3peqd8euspsnj02f8cqa,103051433266,149955004500,0,0,253006437766,253006.437766
ki19nqd94xmds6ww9vwkfa5pe9y0n7hv5v7sn9nqa,102506196972,272765528529,0,17346126617,392617852118,392617.852118
ki1dh8x635tmyv9d7hku3tf5c3yklf6j0m7md2phn,99175280229,98570728199,0,6448836294,204194844722,204194.844722
ki1wppeea5hm3xxuuj7u0z98gcrg5cdvjf6wpp3j5,97500298616,41646834900,0,0,139147133516,139147.133516
ki1aqprc67w9e94h0tn2z0pwjr56gfcvghpmmz0el,95330353986,9997000,0,0,95340350986,95340.350986
ki13u4dsapth4m3hef3z8qgjtdnv06predem4z7xk,95161117612,0,0,0,95161117612,95161.117612
ki128atusl6p90u0pafe6pe8ytz7xywmpegrr2j90,93718937507,0,0,0,93718937507,93718.937507
ki1twjnrnlerhqn4j64mf459vsry8568pnawr68v8,93310112526,149955004500,0,0,243265117026,243265.117026
ki12yl6n0dxv7uhyk2z5k9m84nqx3f6tmzhjlkq83,91673216556,1107869806507,0,203136832715,1402679855778,1402679.855778
ki12p2wq7jvvs9kn0phsgrzd447jwkh2dkrsgnrcq,88912801218,424434888914,0,23787175341,537134865473,537134.865473
